-326.052 361.735 2194.19, -273.688 165.709 2227.95, -283.166 192.968 2356.58, -264.21 138.449 2099.32, -372.575 151.93 2290.01, -274.811 63.227 2063.39, -348.519 50.2128 2445.98, -285.139 -152.728 1998.66, -272.239 59.2083 2250.62, -276.046 -32.1744 2344.64, -265.534 -62.4096 2201.97, -262.347 -350.804 2496.09, -241.564 -353.114 2244.1, -330.37 -332.681 2850, -257.638 -296.012 1888.76
-327.621 357.492 2189.37, -291.426 174.798 2188.19, -284.315 251.758 2261.13, -298.537 97.8369 2115.26, -327.498 198.805 2294.52, -303.53 -57.5243 2024.18, -317.421 94.9162 2420.04, -316.644 -243.716 1974.77, -275.578 95.1557 2270.68, -255.37 62.6977 2397.89, -264.09 -31.6702 2308.45, -311.759 -283.631 2443.35, -204.387 -358.751 2217.34, -357.612 -292.992 2794.71, -199.001 -338.383 2321.92
-328.078 357.29 2189.27, -299.402 181.195 2174.66, -310.082 251.443 2249.99, -288.722 110.947 2099.34, -331.629 191.441 2323.26, -283.757 -38.3487 2028.51, -331.323 89.5912 2417.65, -307.25 -293.23 1958.35, -290.643 97.829 2253.65, -286.116 42.3029 2362.49, -277.651 -13.3764 2302.79, -308.339 -292.352 2449.45, -248.878 -140.028 2040.78, -340.181 -317.879 2736.08, -204.591 -320.472 2316.07
-328.88 355.924 2188.91, -302.275 193.874 2159.96, -306.76 261.767 2231.24, -297.79 125.982 2088.67, -321.818 179.986 2338.4, -284.739 -18.2608 2024.99, -330.963 83.7544 2413.43, -311.332 -233.444 1962.59, -294.65 103.077 2246.91, -288.977 41.818 2364.88, -285.074 -17.2564 2302.86, -321.849 -268.973 2467.36, -217.217 -79.3506 1954.76, -251.819 -320.253 2302.03, -220.008 -316.26 2051.98
-330.476 354.114 2187.76, -298.708 202.826 2132.82, -297.784 265.113 2191.56, -299.633 140.539 2074.09, -320.917 165.997 2355.23, -281.254 20.0518 2028.6, -322.11 232.911 2140.8, -331.656 -135.504 1969.93, -293.343 107.807 2233.5, -287.518 43.7638 2363.39, -288.437 -18.1895 2304.97, -331.468 -251.311 2473.78, -228.455 -90.0616 1956.16, -246.477 -323.938 2324.89, -223.065 -354.018 2019.79
-331.626 352.405 2187.32, -298.359 216.552 2112.92, -312.283 285.271 2173.45, -284.435 147.833 2052.38, -332.906 154.944 2361.22, -267.796 33.6604 2010.96, -332.976 192.092 2166.67, -327.283 -104.299 1932.66, -297.488 121.264 2221.29, -303.108 58.0116 2357.89, -290.126 -6.06091 2301.45, -345.015 -193.312 2410.36, -249.843 -93.6704 1939.5, -243.194 -341.925 2342.92, -217.886 -349.12 1873.46
-337.516 345.041 2181.57, -286.892 220.937 2128.98, -337.641 268.242 2184.48, -236.143 173.632 2073.47, -359.137 117.278 2268.37, -209.628 51.3312 2010.48, -371.325 -27.294 2287.57, -245.574 70.5603 1917.87, -290.291 122.787 2209.52, -311.405 41.1492 2309.44, -275.974 8.12255 2270.69, -328.538 -144.685 1912.07, -292.402 -169.406 2032.75, -283.316 -360.795 1771.61, -206.426 -440.034 2225.99
-340.154 338.146 2184.87, -283.154 221.316 2137.11, -339.024 227.817 2203.46, -227.283 214.816 2070.75, -358.172 69.1582 2302.64, -212.908 95.8684 1995.92, -383.427 -98.664 2323.81, -241.64 101.151 1888.48, -270.245 142.136 2155.73, -313.658 69.5084 2241.25, -201.015 56.4019 2107.47, -327.472 -110.51 1855.71, -299.237 -205.209 2088.6, -284.071 -324.378 1721.13, -208.733 -474.149 2276.35
-340.771 329.462 2189.91, -287.93 207.154 2148.36, -341.058 205.076 2209.51, -234.802 209.232 2087.21, -359.132 53.3843 2310.43, -213.896 100.026 1991.44, -378.862 -98.9625 2324.55, -238.72 99.518 1873.93, -268.838 130.804 2162.36, -306.614 52.2305 2241.8, -192.879 56.6791 2110.9, -333.013 -112.232 1854.57, -301.85 -206.251 2100.91, -289.268 -325.89 1722.79, -210.111 -469.933 2274.6
-339.176 327.008 2191.71, -283.966 220.376 2224.53, -345.937 218.678 2312.04, -221.996 222.073 2137.02, -363.939 52.6358 2254.68, -181.294 106.527 2085.96, -358.673 -96.8758 2223.37, -239.198 104.148 1915.14, -267.644 102.778 2233.81, -280.202 -15.6107 2283.86, -222.442 -14.0284 2202.3, -305.165 -186.807 1894.28, -299.38 -65.3582 1862.6, -250.934 -443.29 2222.03, -259.24 -344.174 1974.34
