-1294.7 363.841 3267.54, -1296.86 245.341 3262.55, -1270.26 248.356 3164.03, -1323.46 242.326 3361.07, -1310.48 52.8648 3162.41, -1244.75 91.1181 3285.38, -1253.41 -198.421 3106.34, -1263.12 181.822 3119.06, -1303.24 117.666 3256.92, -1301.37 -9.07501 3220.75, -1317.86 -10.9442 3281.83, -1280.19 -275.638 3214.07, -1297.45 -210.731 3258.69, -1198.12 -395.065 3055.9, -1191.77 -360.39 3024.21
-1228.5 315.574 3263.33, -1267.15 162.173 3241.04, -1197.66 144.972 3124.13, -1336.65 179.374 3357.95, -1208.77 -47.6754 3173.57, -1221.07 32.6587 3256.7, -1322.9 -264.533 3233.84, -1328.56 142.291 3183.18, -1283.65 15.1179 3252.87, -1253.43 -143.501 3186.09, -1346.88 -120.373 3343.29, -1271.94 -271.205 3235.35, -1196.63 -240.51 3182.98, -1186.94 -249.6 3014.73, -1134.85 -466.716 3132.67
-1217.79 308.043 3248.89, -1266.19 142.337 3243.33, -1206.39 125.592 3118.21, -1325.99 159.082 3368.45, -1207.29 -61.973 3166.96, -1198.63 25.3475 3260.29, -1080.65 83.6808 3312.02, -1308.56 168.517 3197.15, -1280.45 13.5693 3253.75, -1253.4 -126.768 3177.71, -1336.03 -103.628 3350.61, -1276.4 -254.059 3232.15, -1188.3 -262.914 3181.18, -1184.77 -297.078 3099.99, -1133.2 -485.032 3143.53
-1201.44 299.472 3244.37, -1261.17 131.541 3251.35, -1180.27 104.613 3143.84, -1342.07 158.469 3358.86, -1185.94 -80.0583 3182.53, -1213.12 42.3853 3242.27, -1053.34 55.0654 3333.7, -1353.36 197.164 3204.26, -1289.9 10.1845 3260.13, -1248.76 -134.425 3176.06, -1388.49 -87.9184 3361.75, -1258.21 -199.412 3183.2, -1200.58 -284.306 3242.58, -1154.75 -308.607 3000.01, -1146.97 -501.69 3183.47
-1205.49 297.987 3252.63, -1219.35 128.415 3150.03, -1143.46 153.556 3190.12, -1295.25 103.275 3109.94, -1194.15 -79.9343 3160.92, -1256.08 -120.74 3141.61, -1062.93 -36.5492 3327.71, -1251.74 119.527 3170.8, -1255.48 74.3733 3252.31, -1227.38 41.606 3388.52, -1355.83 -0.943832 3320.67, -1219.48 -195.535 3286.89, -1289.79 -248.991 3209.76, -1140.33 -352.074 3177.19, -1174.33 -462.876 3053.89
-1196.78 294.186 3261.42, -1223.14 132.036 3163.27, -1147 142.007 3190.77, -1299.28 122.064 3135.77, -1197.5 -67.4579 3144.67, -1218.53 37.0164 3231.66, -1307.41 -354.614 3262.14, -1245.34 140.443 3162.71, -1254.66 72.1095 3272.27, -1210.64 22.0758 3408.55, -1361.7 2.29133 3353.99, -1204.85 -216.688 3208.09, -1277.08 -267.209 3213.86, -1113.08 -367.897 3145.06, -1188.18 -452.169 3100.52
-1194.41 271.879 3257.01, -1226.78 131.593 3164.41, -1152.75 145.821 3185.29, -1300.81 117.365 3143.54, -1206.36 -51.1487 3138.93, -1197.28 27.0081 3216.08, -1310.58 -332.434 3265.24, -1230.93 120.262 3184.96, -1246.81 73.1997 3275.27, -1204.76 26.7382 3403.63, -1328.93 2.87393 3368.62, -1184.32 -193.558 3216.93, -1272.36 -272.761 3212.03, -1104.81 -356.721 3105.65, -1189.31 -457.823 3087.69
-1197.51 259.84 3263.78, -1222.35 139.319 3182.43, -1202.43 84.6463 3141.37, -1242.26 193.991 3223.49, -1252.97 -107.791 3098.05, -1147.12 82.322 3261.46, -1361.24 -393.671 3227.53, -1185.99 175.922 3214.71, -1249.37 83.866 3243.15, -1256.24 -26.9221 3262.31, -1296.56 83.7487 3345.43, -1198.96 -295.469 3256.56, -1244.25 -182.835 3200.44, -1210.91 -500.195 3254.18, -1160.17 -363.411 3071.99
-1197.45 249.1 3263.78, -1221.38 157.474 3244.63, -1213.11 131.347 3149.82, -1229.64 183.601 3339.44, -1248.4 -55.1262 3121.16, -1132.2 32.9025 3243.97, -1373.22 -344.307 3244.8, -1164.35 -216.623 3124.64, -1241.85 98.645 3259.05, -1256.1 20.1566 3202.14, -1268.54 59.4756 3344.82, -1212.73 -264.297 3187.23, -1225.06 -242.933 3225.11, -1218.36 -480.097 3223.84, -1145.85 -392.878 3093.37
-1194.65 244.725 3261.98, -1224.19 145.745 3247.49, -1212.27 111.463 3155.12, -1236.11 180.027 3339.86, -1238.42 -57.2803 3129.04, -1135.39 30.9478 3237.06, -1370.17 -345.791 3256.23, -1160.46 -247.541 3107.43, -1246.04 72.8185 3271.74, -1259.38 -24.5665 3230.08, -1276.39 24.3502 3361.88, -1210.9 -250.493 3174.07, -1235.53 -291.681 3278.89, -1173.96 -448.301 3158.17, -1154.98 -430.661 3108.18
-1190.68 249.431 3263.14, -1228.81 137.679 3252.9, -1234.85 111.912 3167.36, -1222.78 163.445 3338.44, -1252.08 -40.4658 3130, -1135.48 39.4071 3257.03, -1381.29 -323.164 3249.84, -1147.95 -245.701 3107.05, -1260.92 70.1164 3275.51, -1297.66 -17.2946 3232.23, -1288.37 22.4029 3364.02, -1180.63 -208.788 3141.61, -1248.25 -293.782 3287.05, -1149.8 -439.069 3134.66, -1160.06 -463.746 3087.9
