-1294.7 363.841 3267.54, -1296.86 245.341 3262.55, -1270.26 248.356 3164.03, -1323.46 242.326 3361.07, -1310.48 52.8648 3162.41, -1244.75 91.1181 3285.38, -1253.41 -198.421 3106.34, -1263.12 181.822 3119.06, -1303.24 117.666 3256.92, -1301.37 -9.07501 3220.75, -1317.86 -10.9442 3281.83, -1280.19 -275.638 3214.07, -1297.45 -210.731 3258.69, -1198.12 -395.065 3055.9, -1191.77 -360.39 3024.21
-1109.02 403.58 3330.88, -1026.38 250.522 3257.09, -1063.41 289.403 3330.93, -989.356 211.64 3183.24, -1127.75 203.062 3392.09, -1067.56 199.867 3260.76, -1040.6 286.294 3276.85, -1023.34 225.59 3196.65, -1054.11 124.706 3309.43, -1108.57 26.9723 3415.11, -1055.09 -29.1916 3308.44, -1187.41 -187.233 3396.07, -1095.64 -237.324 3519.06, -1031.67 -364.637 3240.99, -1018.09 -388.309 3128.24
-1028.2 417.819 3228.28, -1030.35 266.829 3276.46, -1069.71 304.9 3375.15, -990.997 228.757 3177.77, -1118.9 194.839 3408.33, -1054.66 189.664 3246.56, -1091.34 239.877 3302.09, -953.853 230.449 3130.81, -1055.6 132.324 3318.28, -1104.56 20.7512 3419.54, -1057.14 -25.1143 3300.65, -1081.15 -262.846 3566.84, -1086.43 -234.686 3490.11, -1031.37 -367.761 3245.6, -1007.1 -413.832 3095.37
-1027.26 407.949 3207.73, -1025.68 253.913 3259.8, -1082.4 311.599 3353.16, -968.952 196.227 3166.44, -1127.95 189.956 3392.17, -920.949 -0.243591 3111.01, -1227.33 -90.1852 3397.18, -981.196 -240.722 3210.69, -1047.85 133.597 3320.67, -1099.98 43.7587 3430.87, -1040.04 -17.1964 3332.22, -967.093 -38.6738 3162.65, -1027.7 -137.708 3140.69, -1016.02 -296.014 3130.64, -1012.46 -424.294 3103.76
-1032.73 405.442 3192.07, -1018.73 248.799 3254.09, -1070.71 315.807 3351.52, -966.743 181.791 3156.66, -1115.83 194.468 3410.74, -928.53 -1.19106 3136.65, -1252.56 -130.634 3249.04, -990.03 -233.285 3197.37, -1045.5 132.262 3319.95, -1098.7 49.8016 3435.36, -1045.83 -18.3493 3336.27, -965.215 -34.46 3164.45, -1030.4 -146.351 3142.35, -1005.97 -292.125 3123.81, -1017.41 -419.053 3113.53
-1035.95 405.828 3182.79, -1014.08 245.139 3251.12, -1064.21 317.211 3350.66, -963.952 173.068 3151.59, -1103.51 190.469 3379.2, -936.726 4.13989 3158.58, -1258.34 -151.198 3246.4, -999.101 -230.698 3186.75, -1042.78 129.146 3320.66, -1096.67 49.3686 3440.21, -1046.29 -23.0633 3340.18, -978.17 -32.8662 3130.46, -1031.93 -175.225 3127.62, -998.325 -291.596 3117.86, -1012.87 -420.737 3114.21
-1041.49 405.088 3172.87, -1010.14 239.144 3247.39, -1039.71 311.694 3345.78, -980.574 166.594 3149.01, -1009.81 249.31 3127.24, -947.597 16.9254 3174.42, -1257.11 -212.396 3251.56, -1013.56 -240.97 3179.72, -1042.08 131.605 3317.09, -1089.02 60.8838 3436.73, -1059 -12.7535 3336.87, -967.149 -43.3257 3136.34, -1044.06 -212.839 3122.68, -990.769 -301.555 3121.25, -1017.16 -421.071 3109.97
-1064.86 413.243 3197.11, -1014.29 239.448 3242.17, -1008.73 319.25 3335.32, -1019.85 159.646 3149.01, -1003.23 221.952 3141.57, -1042.29 -73.573 3199.5, -1216.5 -217.602 3264.49, -1051.74 -263.245 3142.3, -1058.79 139.158 3330.73, -1101.87 59.1433 3442.97, -1104.7 18.5921 3395.64, -1001.12 -70.4197 3153.88, -1039.35 -201.335 3130.9, -1004.18 -326.778 3149.47, -1000.46 -447.201 3094.57
-1082.96 403.801 3177.19, -1067.13 358.679 3271.1, -1053.34 334.962 3157.82, -1080.92 382.397 3384.37, -1024.23 138.035 3158.08, -1112.94 356.833 3467.87, -1026.73 -25.8981 3155.15, -1004.06 436.327 3257.87, -1066.63 220.062 3300.18, -1056.37 64.6592 3249.1, -1075.89 98.2285 3409.43, -1031.43 -158.172 3153.76, -1015.75 -123.604 3133.16, -1026.41 -421.241 3149.48, -979.869 -373.122 3122.15
-1084.92 404.504 3184.21, -1066.9 359.025 3248.8, -1058.54 314.134 3133.44, -1075.25 403.915 3364.15, -1024.55 139 3157.82, -1105.62 366.288 3454.7, -1033.86 -50.6049 3164.96, -843.993 446.746 3282.77, -1066.72 228.41 3299.64, -1062.28 74.9592 3291.8, -1070.79 120.632 3409.16, -1037.15 -174.259 3152.65, -1040.18 -91.6306 3133.75, -1056.16 -438.505 3150.25, -986.86 -351.577 3133.57
-1099.19 462.831 3266.92, -1066.01 358.035 3228.13, -1062.75 309.639 3112.77, -1069.27 406.432 3343.49, -1034.31 126.771 3149.33, -1089.77 363.442 3449.08, -1038.73 -45.5727 3163, -869.973 408.889 3265.11, -1065.34 216.074 3287.7, -1063.18 52.0312 3294.64, -1066.15 96.1955 3399.91, -1029.21 -140.643 3156.5, -1051.99 -92.4815 3105.76, -1065.52 -410.794 3156.07, -1001.72 -363.719 3106.8
-1104.74 459.879 3260.08, -1044.98 335.802 3218.87, -1047.01 282.494 3099.07, -1042.94 389.11 3338.66, -1045.62 97.4404 3153.17, -1070.27 359.736 3433.64, -1049.19 -57.3089 3167.61, -814.475 261.131 3123.04, -1054.41 198.857 3279.97, -1064.72 39.1348 3289.88, -1062.98 84.691 3392.25, -1030.41 -137.321 3154.85, -1054.08 -83.6989 3106.16, -1060.82 -405.063 3133.13, -1003.89 -364.065 3092.77
-1107.69 457.842 3255.13, -1051.93 318.986 3227.41, -1055.07 303.985 3131.35, -1048.79 333.988 3323.47, -1038.46 128.674 3133.04, -1094.86 301.357 3517.9, -1047.23 -59.9987 3147.47, -1056.73 253.833 3324.83, -1070.21 178.819 3249.9, -1089.41 34.2827 3244.4, -1087.58 43.0226 3300.37, -1034.66 -132.991 3145.77, -1043.22 -206.472 3101.15, -1074.03 -419.31 3092.02, -996.288 -403.131 3113.95
-1106.66 456.008 3246.38, -1058.27 326.033 3251, -1064.53 343.966 3145.17, -1052 308.099 3356.82, -1047.28 149.705 3094.38, -1071.61 274.748 3428.97, -1045.22 -101.809 3135.76, -1045.44 -117.441 3034.34, -1070.17 197.202 3229.87, -1084.18 74.4245 3173.03, -1079.95 62.3194 3244.46, -1177.26 -137.437 3371.73, -1105.11 -224.97 3305.81, -1087.33 -410.302 3186.24, -1001.61 -434.806 3172.89
-1081.68 427.856 3269.89, -1088.58 307.285 3169.95, -1112.77 299.789 3136.63, -1064.4 314.781 3203.27, -1062.81 95.6746 3074.79, -1058.58 305.958 3409.81, -1074.66 -113.86 3139.93, -1045.37 -62.5457 3034.62, -1086.88 184.554 3196.32, -1095.6 58.5922 3208.34, -1074.76 65.053 3237.06, -1184.99 -141.572 3386.67, -1087.23 -202.059 3220.62, -1096.01 -419.142 3228.7, -990.045 -396.375 3150.33
