-177.237 472.33 2466.82, -180.077 379.225 2532.07, -174.355 394.824 2676.51, -185.799 363.626 2387.64, -144.953 172.426 2824.21, -147.381 110.482 2360.53, -185.532 251.314 2570.69, -135.131 -160.38 2239.27, -171.204 246.006 2546.11, -158.695 122.699 2651.93, -165.967 102.873 2468.36, -199.715 -175.618 2541.29, -131.476 -248.752 2512.53, -106.644 -389.784 2654.8, -119.832 -268.108 2162.01
-183.782 430.333 2447.79, -221.977 338.184 2500.76, -244.729 355.623 2590.78, -199.225 320.745 2410.74, -131.202 241.587 2805.84, -155.523 80.2442 2370.84, -178.902 311.64 2550.96, -150.886 -181.974 2238.15, -188.835 220.136 2532.01, -177.908 119.115 2651.15, -133.479 85.0599 2475.36, -214.481 -173.123 2532.25, -115.137 -247.809 2518.93, -125.168 -393.242 2651.96, -99.8317 -255.347 2171.57
-192.466 417.163 2435.64, -212.314 336.241 2511.46, -228.539 352.981 2602.13, -196.089 319.502 2420.79, -142.956 242.71 2792.03, -156.172 89.8573 2378.89, -200.248 310.707 2516.38, -151.615 -177.196 2249.69, -183.457 217.065 2538.62, -170.551 114.345 2654.93, -138.649 81.4315 2476.65, -203.427 -172.519 2529.46, -126.554 -244.864 2518.59, -116.805 -398.905 2653.17, -107.122 -249.573 2161.78
-291.149 451.852 2414.92, -213.013 349.272 2512.41, -228.793 371.299 2599.81, -197.233 327.246 2425, -147.008 251.38 2804.27, -163.059 91.1033 2383.68, -181.287 332.548 2541.28, -156.398 -176.013 2257.62, -187.938 226.062 2547.99, -176.822 122.337 2660.88, -148.904 83.3677 2506.25, -206.258 -160.994 2524.67, -125.109 -251.798 2522.07, -121.201 -394.912 2650.09, -101.511 -254.494 2159.37
-268.934 442.104 2411.3, -306.52 348.625 2428.71, -399.551 346.269 2505.86, -213.49 350.982 2351.55, -246.638 283.91 2717.69, -182.281 115.195 2324.37, -323.686 289.834 2460.45, -179.911 -145.909 2209.73, -235.594 226.793 2510.51, -221.46 103.522 2639.41, -107.873 106.4 2545.21, -250.377 -180.702 2515.89, -78.2353 -231.413 2552.11, -165.46 -416.077 2625.1, -56.5109 -236.939 2181.97
-267.641 444.894 2411.1, -301.898 349.872 2437.67, -389.226 351.769 2515.1, -214.57 347.975 2360.24, -237.277 290.036 2727.8, -183.176 114.619 2355.39, -313.532 287.854 2470.27, -182.117 -150.909 2229.11, -231.65 222.716 2520.01, -214.32 96.71 2649.27, -108.485 94.411 2555.43, -241.887 -185.584 2545.69, -86.3168 -228.569 2557.2, -158.462 -423.228 2629.47, -66.8139 -240.059 2203.07
-276.417 446.5 2464.59, -196.886 356.791 2647.53, -180.052 349.077 2760.76, -213.721 364.506 2534.3, -181.988 303.763 2936.18, -166.84 155.53 2441.62, -238.586 169.479 2618.7, -155.36 -115.367 2286.79, -184.274 225.392 2636.7, -162.726 89.898 2685.97, -180.595 98.0867 2565.78, -154.689 -64.134 2387.88, -135.501 -188.74 2499.07, -103.91 -416.415 2598.22, -127.834 -254.221 2176.74
-279.759 439.627 2485.77, -197.991 353.992 2653.86, -178.847 344.414 2768.61, -217.135 363.57 2539.12, -184.964 280.215 2927.34, -168.165 156.213 2451.15, -240.068 164.077 2632.57, -172.938 -76.949 2270.42, -186.472 219.777 2640.74, -162.996 79.5788 2699.28, -186.91 91.5433 2555.95, -154.688 -71.4334 2440.7, -134.869 -147.686 2469.01, -104.066 -313.63 2258.13, -127.123 -232.698 2168.1
-278.186 435.7 2492.92, -202.505 348.959 2656.78, -182.913 340.955 2772.18, -222.097 356.963 2541.38, -184.306 263.922 2929.39, -171.748 148.426 2459.09, -200.541 124.468 2692.42, -174.685 -76.0733 2273.66, -188.558 213.482 2645.02, -161.526 72.6598 2710.33, -187.696 83.3511 2556.18, -156.647 -70.9233 2467.42, -132.982 -120.437 2444.99, -102.76 -309.388 2257.29, -128.804 -241.455 2174.6
-264.231 437.113 2535.78, -206.9 345.378 2661.2, -184.721 339.187 2777.43, -229.08 351.57 2544.96, -178.189 144.277 2953.58, -174.635 143.971 2463.76, -201.507 127.574 2734.9, -174.696 -78.2409 2281.99, -191.722 212.451 2651.22, -161.783 75.4018 2718.6, -191.306 83.6433 2563.89, -158.845 -66.098 2496.62, -131.841 -102.493 2425.16, -101.383 -308.473 2241.86, -132.833 -253.142 2181.66
